event_date,venue,event_uid,calendar_summary,post_event_name,songs,se,interludes,encores,doors,showtime,live_start,live_end,length_bucket,source_file
2025-10-13,神田CLUB F#,3o0n3gohtgfv1m2skv54hfm9jk@google.com,【イベント】「かんだでもおともだち 〜おてつだい じ〜け〜ないと〜」,「かんだでもおともだち 〜おてつだい じ〜け〜ないと〜」,6,1,0,0,16:30,17:00,19:15,19:40,25 min,2026-08-17.txt
2025-10-18,大塚Hearts Next,7ao4m28mgjlgqkm7b3316ucp6t@google.com,【イベント】ギュウ農フェス mini『この秋、運命は勇者に微笑む』～夕の部～,ギュウ農フェス mini『この秋、運命は勇者に微笑む』～夕の部～,7,1,0,0,16:30,17:00,18:30,19:00,30 min,2026-08-17.txt
2025-10-18,恵比寿CreAto,47fmbscf88lo1enn9dolm8rdm8@google.com,【イベント】「コウサツ」,「コウサツ」,6,1,0,0,10:15,10:30,12:15,12:40,25 min,2026-08-17.txt
2025-10-19,Spotify O-Crest,1s93n65rm9bju65gpc23dm6u6e@google.com,【イベント】NEW AGE MUGEN EMO(DAY),「NEW AGE MUGEN EMO(DAY)」,6,1,0,0,11:30,12:00,13:15,13:40,25 min,2026-08-17.txt
2025-10-21,大塚Hearts+,301c0ri94ucbge2vjv7k57opa9@google.com,【イベント】「#pmbfriends vol.1」,「#pmbfriends vol.1」,7,1,0,0,18:30,19:00,19:30,20:00,30 min,2026-08-17.txt
2025-10-24,Flowers Loft,2o65v8nv02inp0mhi1hinuoc73@google.com,【イベント】『アネモネ』,「アネモネ」,7,1,0,0,18:00,18:30,20:00,20:30,30 min,2026-08-17.txt
2025-10-26,SHIBUYA RING,2f3h11s3upokgt9e1s8v9h6ri6@google.com,【イベント】『LEADING Circuit HELLOWEEN』,『LEADING Circuit HELLOWEEN』,5,1,0,0,09:00,09:20,10:40,11:00,20 min,2026-08-17.txt
2025-10-26,新宿MARZ,510ap4b13vrr1kfrfv5j9ota18@google.com,【イベント】UNIVERSE企画『NEW ORDER』,UNIVERSE企画『NEW ORDER』,7,1,0,0,18:00,18:30,19:30,20:00,30 min,2026-08-17.txt
2025-10-27,新宿MARZ,33i7f7gs73g2oieh0ttsc4q3su@google.com,【イベント】「エンジョイナス‼」,「エンジョイナス‼」,6,1,0,0,18:50,19:10,19:35,20:00,25 min,2026-08-17.txt
2025-11-01,四谷LOTUS,55icp9hnemnu349eujvhcvgmm6@google.com,【イベント】INFINITY LIVE presents『Princeism - Night - 』,INFINITY LIVE presents『Princeism - Night - 』,6,1,0,0,16:30,16:45,20:15,20:40,25 min,2026-08-17.txt
2025-11-02,大塚Hearts+,4eocno6jtlm7me3o4tp1h7heei@google.com,【イベント】Hearts+ presents「秋のYOIMACHI」,Hearts+ presents「秋のYOIMACHI」,7,1,0,0,10:30,11:00,16:00,16:30,30 min,2026-08-17.txt
2025-11-03,TwinBoxGARAGE,6uqoqld8v3b8nv399kljen2pcn@google.com,【イベント】『秋葉原アイドルサーキット vol.5』,『秋葉原アイドルサーキット vol.5』,5,1,0,0,10:45,11:30,12:10,12:30,20 min,2026-08-17.txt
2025-11-08,下北沢MOSAiC,39mrm0e7l6945sadb4vl9v34er@google.com,【イベント】「アイクル2025本祭 ~WAKUWAKU CIRCUIT ~」,「アイクル2025本祭 ~WAKUWAKU CIRCUIT ~」,7,1,0,0,11:00,11:30,14:10,14:40,30 min,2026-08-17.txt
2025-11-09,Flowers Loft,0jtputfi1ov77hthi3keienms8@google.com,【イベント】『WEEKEND無限脱却SPECIAL 2025』,『WEEKEND無限脱却SPECIAL 2025』,6,1,0,0,11:00,11:30,11:30,11:55,25 min,2026-08-17.txt
2025-11-10,大塚Hearts+,1tnsqg7767nv4i7soc70qvd1pd@google.com,【イベント】日ノ目企画presents“MONDAYDRIVE”,日ノ目企画presents“MONDAYDRIVE”,6,1,0,0,18:00,18:30,18:30,18:55,25 min,2026-08-17.txt
2025-11-11,高円寺HIGH,6njvp3mgt9tdnp7sb771iq05a8@google.com,"【イベント】AQ&0番線と夜明け前 共同企画""永久番線""","「AQ&0番線と夜明け前 共同企画""永久番線""」",7,1,0,0,18:15,18:45,19:15,19:45,30 min,2026-08-17.txt
2025-11-14,新宿MARZ,5lffu6p55t51llnf3obmps2d3d@google.com,【イベント】UNIVERSE企画『NEW ORDER』,UNIVERSE企画『NEW ORDER』,7,1,0,0,18:30,19:00,20:30,21:00,30 min,2026-08-17.txt
2025-11-16,Flowers Loft,4p3b5fdah8igfrmsd8t4cpbcpv@google.com,【イベント】『アネモネ』,『アネモネ』,7,1,0,0,11:00,11:30,13:00,13:30,30 min,2026-08-17.txt
2025-11-22,新宿LOFT,2hih7e5imrucg8gev67ju41dr6@google.com,【イベント】『ともだちFES 2025』,『ともだちFES 2025』,6,1,0,0,08:45,09:10,11:45,12:10,25 min,2026-08-17.txt
2025-11-23,Spotify O-Crest,4o56fpt8n68qeej666nckv5d79@google.com,【イベント】『NEW AGE EMO MUGEN -DAY-』,『NEW AGE EMO MUGEN -DAY-』,6,1,0,0,10:30,11:00,10:30,10:55,25 min,2026-08-17.txt
2025-11-24,下北沢MOSAiC,72brvb1htocru71irumhbpvs81@google.com,【イベント】Drawry.主催イベント「build a family vol.1」,Drawry.主催イベント「build a family vol.1」,7,1,0,0,11:00,11:20,12:10,,,2026-08-17.txt
2025-11-29,ベルサール渋谷ガーデン,03o9pqn7mrmkdp50651te81p9h@google.com,【イベント】TIF学園 「学園祭」秋,TIF学園 「学園祭」秋,5,1,0,0,09:30,10:00,16:00,16:20,20 min,2026-08-17.txt
2025-11-30,SUPERNOVA KAWASAKI,06ots1h65f2k9qs9i12riqtrsg@google.com,【イベント】『BUNFES Vol.3』,『BUNFES Vol.3』,6,1,0,0,11:30,11:45,12:10,12:30,20 min,2026-08-17.txt
2025-11-30,四谷LOTUS,7mb51mgsr5jaumf25bkgbdhjes@google.com,【イベント】INFINITY LIVE presents『Princeism』,INFINITY LIVE presents『Princeism』,6,1,0,0,17:00,17:15,18:05,18:30,25 min,2026-08-17.txt
2025-12-01,渋谷WOMB,74lgh1lr5flp7tvc7maj49238q@google.com,"【イベント】『AFTERS PRESENTS. 「Hey, nuts buddy!」』","AFTERS PRESENTS. 「Hey, nuts buddy!」",7,1,0,0,17:00,17:30,17:40,18:05,25 min,2026-08-17.txt
2025-12-06,SHIBUYA RING,5q145r1lknr22695ok9snsls7p@google.com,【イベント】『澀谷環狀空間』,『澀谷環狀空間』,6,1,0,0,15:40,16:00,18:40,19:05,25 min,2026-08-17.txt
2025-12-08,新宿MARZ,1ldlruj85luujlqjfimsl84qv4@google.com,【イベント】SHINJUKUMARZ 24th Anniversary UNIVERSE企画『NEW ORDER #無銭NIGHT』,SHINJUKUMARZ 24th Anniversary UNIVERSE企画『NEW ORDER #無銭NIGHT』,8,1,0,0,18:30,19:00,19:30,20:00,30 min,2026-08-17.txt
2025-12-13,下北沢MOSAiC,19t30atdobhrjs68q5j7idngrk@google.com,【イベント】INFINITY LIVE presents 『WHITEDAYS』,INFINITY LIVE presents 『WHITEDAYS』,6,1,0,0,16:45,17:00,18:15,18:40,25 min,2026-08-17.txt
2025-12-14,表参道GROUND,2u17onaqc4ps4nrlplgm6nfd3h@google.com,【イベント】『TOKYO BEATREC』,『TOKYO BEATREC』,8,1,0,0,11:30,12:00,12:30,13:00,30 min,2026-08-17.txt
2025-12-20,下北沢ADRIFT,378rcno6pgujok9d0i4g46qpvu@google.com,【イベント】NEW AGE  ＋ HASYAGE JAPAN 2025 忘年会 『ニューハシャゲ』,NEW AGE  ＋ HASYAGE JAPAN 2025 忘年会『ニューハシャゲ』,7,1,0,0,11:00,11:30,16:45,17:10,25 min,2026-08-17.txt
2025-12-20,青山RizM,77lv07toepr1cip9pr6o8dvjfa@google.com,【イベント】脱却presents BREAKING RizMVol.1,脱却presents【 BREAKING RizMVol.1】,7,1,0,0,11:00,11:30,12:20,12:45,25 min,2026-08-17.txt
2025-12-21,SHIBUYA CYCLONE,5ifkesve1tb54c6mimpfm89pkh@google.com,【イベント】Drawry.主催イベント「都月ゆめ生誕」,Drawry.主催イベント「都月ゆめ生誕」,8,1,0,1,11:30,12:00,12:40,,,2026-08-17.txt
2025-12-25,Flowers Loft,2l7kpfok8o4n8uipouet57utak@google.com,【イベント】INFINITY LIVE presents 『ASTROFES 2025 - Xmas Circuit - 』,INFINITY LIVE presents『ASTROFES 2025 - Xmas Circuit - 』,7,1,0,0,16:30,16:45,18:45,19:10,25 min,2026-08-17.txt
2025-12-28,DESEO mini with VILLAGE VANGUARD,4ogp5lilimf7qgf79pm29nkts4@google.com,【イベント】「LEADING PREMIUM 年末感謝祭'25」,「LEADING PREMIUM 年末感謝祭'25」,5,0,0,0,10:30,11:15,20:00,20:20,20 min,2026-08-17.txt
2025-12-29,YOANI LIVE STATION,6af9jc7mtslvh66ud80irfr95l@google.com,【イベント】『有田祭〜年末スペシャル〜』,『有田祭〜年末スペシャル〜』,7,1,0,0,11:30,11:45,16:05,16:30,25 min,2026-08-17.txt
2025-12-30,大塚Hearts+,76jjdl3suu0ld2v6g5s954igd1@google.com,【イベント】日ノ目企画presents“TUESDAYFLIGHT”,日ノ目企画presents“TUESDAYFLIGHT”,6,0,0,0,16:30,17:00,17:00,17:25,25 min,2026-08-17.txt
2025-12-31,下北沢シャングリラ,4ku1go9r7pvtv573ro2c90tkpq@google.com,【イベント】『NEW AGE 2025 FINAL COUNTDOWN』,『NEW AGE 2025 FINAL COUNTDOWN』,7,1,0,0,11:00,11:30,14:35,15:00,25 min,2026-08-17.txt
2026-01-03,Spotify O-WEST,3vt395rm7pfuhtjb1sl6po7uqk@google.com,【イベント】「アイドル甲子園 in Spotify O-WEST」-DAY2-,「アイドル甲子園 in Spotify O-WEST」-DAY2-,6,1,0,0,09:00,09:30,09:55,10:20,25 min,2026-08-17.txt
2026-01-04,Spotify O-nest,2ji18l0gcje4a22fnm8qo93599@google.com,【イベント】「アイドル甲子園 in Spotify O-nest」 -DAY3-,「アイドル甲子園 in Spotify O-nest」 -DAY3-,7,1,0,0,09:00,09:30,13:00,13:25,25 min,2026-08-17.txt
2026-01-07,新宿MARZ,57j0rohk6n0tpq7l95pcjh1tub@google.com,【イベント】SOVA presents 「Owl Nest10」,SOVA presents 「Owl Nest10」,8,1,0,0,18:30,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-01-09,新宿MARZ,1ub9j9mbgv7c714qm402np7rov@google.com,【イベント】UNIVERSE企画『NEW ORDER新春SP #無銭NIGHT』,UNIVERSE企画『NEW ORDER新春SP #無銭NIGHT』,8,1,0,0,18:30,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-01-11,下北沢MOSAiC,1fn2a7nv7qkr9mr20c4so5o8tu@google.com,【イベント】Drawry.主催イベント「雪城とうか生誕」,Drawry.主催イベント「雪城とうか生誕」,9,1,1,1,11:10,11:30,,,,2026-08-17.txt
2026-01-12,DESEO mini with VILLAGE VANGUARD,5lmsml6of0o9g0gnv20ht5vare@google.com,【イベント】『TOKYO BEATREC』,『TOKYO BEATREC』,8,1,1,0,16:40,16:55,18:35,19:00,25 min,2026-08-17.txt
2026-01-15,DESEO mini with VILLAGE VANGUARD,36toor94ufqefi5gjhu0teg6bh@google.com,【イベント】「OBORO」,「OBORO」,7,1,0,0,18:30,19:00,19:00,19:25,25 min,2026-08-17.txt
2026-01-17,Spotify O-Crest,2p4eh0t8sft8sj56tgc58md205@google.com,【イベント】『NEW AGE EMO MUGEN 』,『NEW AGE EMO MUGEN 』,8,1,1,0,10:30,11:00,11:55,12:20,25 min,2026-08-17.txt
2026-01-18,大塚Hearts Next,57lhuo37r0d3lr1g4ri673idr8@google.com,【イベント】日ノ目企画presents“Fill In Your Blanks”,日ノ目企画presents“Fill In Your Blanks”,7,1,0,0,10:40,11:00,11:50,12:15,25 min,2026-08-17.txt
2026-01-23,京都ROKA,19ib1bj5e4ikh6ufvtccn8ggkv@google.com,【関西遠征イベント】日ノ目企画presents“GOLDENEYE“,日ノ目企画presents“GOLDENEYE“,6,1,0,0,18:00,18:20,18:45,19:10,25 min,2026-08-17.txt
2026-01-27,新宿Marble,2rgv7j5m5n87ctdg4phvb98uu0@google.com,【イベント】『UTAGE FES Vol.4』,『UTAGE FES Vol.4』,6,0,1,0,10:00,10:30,11:40,12:00,20 min,2026-08-17.txt
2026-02-01,銀座BASE GRANBELL,3teje1p32kf9s2k263v6frte4b@google.com,【イベント】「IDOL☆STAR -LIGHT- Vol.24」,「IDOL☆STAR -LIGHT- Vol.24」,7,1,0,0,11:30,12:00,13:40,14:05,25 min,2026-08-17.txt
2026-02-05,渋谷チェルシーホテル,31v6ddfp7054c1tun35daca8v5@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,8,1,0,0,18:40,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-02-07,青山RizM,00oaj2hqh984qel1pgqg4m2pqd@google.com,【イベント】『TOKYO BEATREC』,『TOKYO BEATREC』,8,1,1,0,16:40,17:00,18:15,18:40,25 min,2026-08-17.txt
2026-02-11,下北沢MOSAiC,4pe39gbohv2vclor0mo1bdven4@google.com,【イベント】INFINITY LIVE presents『WHITEDAYS』,INFINITY LIVE presents『WHITEDAYS』,7,1,0,0,11:00,11:15,13:05,13:30,25 min,2026-08-17.txt
2026-02-14,白金高輪SELENE b2,6cpg54805tv8684pe3cus5fvgi@google.com,【イベント】『new story』,『new story』,7,1,0,0,10:00,10:15,19:15,19:40,25 min,2026-08-17.txt
2026-02-15,恵比寿CreAto,02ofra8f0vn4ggj2p3j2j8rdah@google.com,【イベント】「ソノウチ」,『ソノウチ』,8,1,1,0,10:15,10:30,11:45,12:10,25 min,2026-08-17.txt
2026-02-17,Flowers Loft,15j1rs1qsrf3s4t4ikabk1vtg6@google.com,【イベント】「アイドルわくくんDAYO! おさんぽ編」,「アイドルわくくんDAYO! おさんぽ編」,7,1,0,0,18:00,18:30,18:30,18:55,25 min,2026-08-17.txt
2026-02-21,DESEO mini with VILLAGE VANGUARD,7vq79olojgs7bbrl0tltjjhkjs@google.com,【イベント】『COLORLiNIX vol.III』,『COLORLiNIX vol.III』,7,1,0,0,16:00,16:30,17:55,18:20,25 min,2026-08-17.txt
2026-02-22,池袋リヴォイス,4bjv4t01k1jc9n1umc7862i1bv@google.com,【イベント】『ラジオ大阪Presents GIRLS CIRCUIT LIVE』,『ラジオ大阪Presents GIRLS CIRCUIT LIVE』,8,1,1,0,10:40,11:00,13:10,13:35,25 min,2026-08-17.txt
2026-02-23,SHIBUYA DESEO,1dk8k2t5tdo3ue83f1qtj22r5i@google.com,【イベント】Drawry.主催イベント「build a family vol.2」,Drawry.主催イベント「build a family vol.2」,9,1,1,0,11:20,11:50,12:40,,,2026-08-17.txt
2026-02-28,大塚Hearts+,1cflsrrfv6fusn4986kaa2jrbe@google.com,【イベント】RAY presents「GOO!」supported by YOIMACHI,RAY presents「GOO!」supported by YOIMACHI,7,1,0,0,11:00,11:25,11:35,12:00,25 min,2026-08-17.txt
2026-03-01,四谷LOTUS,3ij1o7uapnm76jqf3l7vmekr93@google.com,【イベント】INFINITY LIVE presents『Princeism』,INFINITY LIVE presents『Princeism』,7,1,0,0,16:45,17:00,17:50,18:15,25 min,2026-08-17.txt
2026-03-02,渋谷近未来会館,2sjvs9au52i5810pfis7rsca6k@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,9,1,1,0,19:00,19:20,19:50,20:20,30 min,2026-08-17.txt
2026-03-07,渋谷CLUB CRAWL,7brqedd9v9c5gjgget34h991ch@google.com,【イベント】INFINITY LIVE presents『CRAWLCRAW』,INFINITY LIVE presents『CRAWLCRAW』,7,1,0,0,11:00,11:15,12:50,13:15,25 min,2026-08-17.txt
2026-03-08,新宿MARZ,45t9d4mp7u13948oe348kphgh1@google.com,【イベント】INFINITY LIVE presents『FIRST LIGHT - TRINITY RISE - 』,INFINITY LIVE presents『FIRST LIGHT - TRINITY RISE - 』,9,1,1,0,14:40,15:00,15:00,15:30,30 min,2026-08-17.txt
2026-03-10,渋谷近未来会館,59tdldskrp5gmf77h9vo8efu7m@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,8,1,0,0,18:40,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-03-14,Flowers Loft,03o6a2s7dfuvl7sc216ibji69b@google.com,【イベント】『IDOL FILE CITY CULTURE CIRCUIT 2026』,『IDOL FILE CITY CULTURE CIRCUIT 2026』,8,1,1,0,11:00,12:00,12:30,12:55,25 min,2026-08-17.txt
2026-03-15,下北沢SHELTER,4gnk8ortbamu12bf9dvm6vimvc@google.com,【イベント】Drawry.主催イベント「小宵めみ生誕」,Drawry.主催イベント「小宵めみ生誕」,12,1,2,1,11:30,12:00,,,,2026-08-17.txt
2026-03-20,タワーレコード新宿店,1glmsbf0fvl02rc01sph283snh@google.com,【リリースイベント】タワーレコード新宿店,1st EP「First Lines」リリースイベント,8,1,0,0,12:30,13:00,13:00,,,2026-08-17.txt
2026-03-20,銀座BASE GRANBELL,4p8jnmpuv4254ki49a3jcsjq5m@google.com,【イベント】「IDOLGROW vol.22」,「IDOLGROW vol.22」,9,1,1,0,13:30,14:00,17:05,17:35,30 min,2026-08-17.txt
2026-03-21,SHIBUYA RING,63q4t383k4k3it2ichhckg90ha@google.com,【イベント】「LEADING SPRING Circuit」,「LEADING SPRING Circuit」,7,1,1,0,10:30,11:00,12:05,12:25,20 min,2026-08-17.txt
2026-03-22,Flowers Loft,30j5uccf4prpk1abiqju6u11oi@google.com,【イベント】『脱却FES 2026』,『脱却FES 2026』,7,1,0,0,11:00,11:30,13:20,13:45,25 min,2026-08-17.txt
2026-03-28,Spotify O-Crest,6b04264e877dvp9qqft2849ra3@google.com,(Sold out)【1st ONEMAN LIVE】「I Believe」,Drawry.1st ONEMAN LIVE「I Believe」,13,0,1,1,11:20,11:55,11:55,,,2026-08-17.txt
2026-03-29,Flowers Loft,1049cqce66b9j6aes9qr80dbh9@google.com,【イベント】『脱却』,『脱却』,7,1,0,0,11:00,11:30,18:45,19:10,25 min,2026-08-17.txt
2026-04-04,下北沢MOSAiC,39u2voll41gsharfn8iqkn2gfk@google.com,【イベント】Drawry.主催イベント「I Believe -After party-」,Drawry.主催イベント「I Believe -After party-」,12,1,1,1,11:00,11:30,,,,2026-08-17.txt
2026-04-05,Flowers Loft,0nlfb9uouk3m75rvigvkkfd9cj@google.com,【イベント】INFINITY LIVE presents『ASTROPUFF』,INFINITY LIVE presents『ASTROPUFF』,7,0,1,0,10:30,10:45,13:15,13:40,25 min,2026-08-17.txt
2026-04-11,大塚FUTURE:,2v5r8qghdpp13b322f5bungth9@google.com,【イベント】『Buenos días desde Otsuka.』,『Buenos días desde Otsuka.』,7,1,0,0,10:30,10:50,13:20,13:45,25 min,2026-08-17.txt
2026-04-14,渋谷チェルシーホテル,3k8gn3h0etaukbpvhg3jvkierr@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,9,1,1,0,18:30,18:50,20:20,20:50,30 min,2026-08-17.txt
2026-04-18,いわき湯本温泉 旅館こいと,0t6gv7f3qcjsa6sgn9pd6l0p15@google.com,【イベント】エクストロメ‼ presents『トロメ〜湯♨️』,エクストロメ‼️ presents『トロメ〜湯♨️』,8,1,1,0,11:25,12:00,12:00,12:25,25 min,2026-08-17.txt
2026-04-19,いわき湯本温泉 旅館こいと,0t6gv7f3qcjsa6sgn9pd6l0p15@google.com,【イベント】エクストロメ‼ presents『トロメ〜湯♨️』,エクストロメ‼ presents『トロメ〜湯♨️』,7,0,1,0,11:25,12:00,12:00,12:25,25 min,2026-08-17.txt
2026-04-22,SHIBUYA CLUB QUATTRO,7tib09ak15b80e85afjs5dmb1f@google.com,【イベント】「SOUL」,「SOUL」,7,1,0,0,12:45,13:00,16:05,16:30,25 min,2026-08-17.txt
2026-04-24,新宿MARZ,7qq9po5j94vnn1uua8t0cci4ha@google.com,【イベント】UNIVERSE企画『NEW ORDER #無銭NIGHT』,UNIVERSE企画『NEW ORDER #無銭NIGHT』,9,1,1,0,18:30,19:00,20:30,21:00,30 min,2026-08-17.txt
2026-04-25,下北沢MOSAiC,38lopms7ofcq1opqn08hh9s4vf@google.com,【イベント】『Road to Festival In the Rain2026 #01』 supported by INFINITY LIVE,『Road to Festival In the Rain2026 #01』supported by INFINITY LIVE,7,1,0,0,15:10,15:30,16:20,16:45,25 min,2026-08-17.txt
2026-04-26,Flowers Loft,49g828ivtam7gnftuvn4fsc935@google.com,【イベント】INFINITY LIVE presents『ASTROPUFF』,INFINITY LIVE presents『ASTROPUFF』,8,1,1,0,10:40,11:00,11:25,11:50,25 min,2026-08-17.txt
2026-04-29,新宿LOFT,7d1t4stgni2b85hhhmb0sm3orb@google.com,【イベント】「ソノウチ」,「ソノウチ」,8,1,1,0,10:20,10:40,16:40,17:05,25 min,2026-08-17.txt
2026-04-30,新宿MARZ,12reii57d663m7ishjkqvc5e6q@google.com,【イベント】YOTAKA定期公演『Starlight』vol.4,YOTAKA定期公演『Starlight』vol.4,6,0,0,0,18:00,18:30,18:55,19:20,25 min,2026-08-17.txt
2026-05-02,銀座BASE GRANBELL,1h49ri9i9uc06n4h83k2ln8e29@google.com,【イベント】「KAWAii is not ENOUGH supported by エクストロメ Vol.9」,「KAWAii is not ENOUGH supported by エクストロメ Vol.9」,8,1,1,0,12:30,13:00,13:00,13:25,25 min,2026-08-17.txt
2026-05-03,下北沢SHELTER,1ptptrg4ssnlrumcsbbms4ilpb@google.com,【イベント】『weekend weekend festa 2026』 ~KAIYU～,『weekend weekend festa 2026』 ~KAIYU～,8,1,0,0,10:00,10:30,17:40,18:10,30 min,2026-08-17.txt
2026-05-05,新宿MARZ,12la00soolf4v31pmhr146vfu5@google.com,【イベント】「歌舞伎町UP GATE↑↑2026」,「歌舞伎町UP GATE↑↑2026」,8,1,1,0,12:00,13:00,15:45,16:10,25 min,2026-08-17.txt
2026-05-06,下北沢シャングリラ,7eecp7t9o5v5rhb1r7i9f4c2b1@google.com,【イベント】SOVA 10th Anniversary「Owl Decade」,SOVA 10th Anniversary「Owl Decade」,7,1,0,0,13:00,13:30,15:30,15:55,25 min,2026-08-17.txt
2026-05-08,京都ROKA,0jgj3sq9a21qrmel6lagkbvbhe@google.com,"【イベント】AQ&0番線と夜明け前 共同企画 ""永久番線""","AQ&0番線と夜明け前 共同企画 ""永久番線""",7,0,0,0,18:00,18:30,18:30,19:00,30 min,2026-08-17.txt
2026-05-09,アメリカ村BEYOND,38qmp4io0l0m1kp26fu2sppgku@google.com,【イベント】「MAWA LOOP OSAKA 2026」,「MAWA LOOP OSAKA 2026」,6,0,0,0,11:30,12:00,12:10,12:35,25 min,2026-08-17.txt
2026-05-13,渋谷WOMB,2tueejbhjed2f7prv9j6843i4l@google.com,【イベント】「Creora supported by My-th」,「Creora supported by My-th」,8,1,1,0,15:30,15:50,15:50,16:15,25 min,2026-08-17.txt
2026-05-15,新宿MARZ,2q7874nk16e3to2hr6gvdvrmsf@google.com,【イベント】「エンジョイナス!!」,「エンジョイナス!!」,7,0,0,0,18:50,19:10,20:25,20:50,25 min,2026-08-17.txt
2026-05-17,青山RizM,79crqdn1halico03dmpjo0sgsn@google.com,【イベント】『TOKYO BEATRECmini』,『TOKYO BEATRECmini』,7,1,0,0,10:50,11:10,13:45,14:10,25 min,2026-08-17.txt
2026-05-20,SHIBUYA CLUB QUATTRO,1jkqqc6qn7mve8hgt7c7bsb7kb@google.com,【イベント】「SOUL」,「SOUL」,7,0,1,0,13:00,13:15,15:40,16:05,25 min,2026-08-17.txt
2026-05-23,三崎公園野外音楽堂,3bssileq74769rvml92sd5mqi3@google.com,【イベント】「リーディング エクストロメ‼」,「リーディング エクストロメ‼」,8,1,1,0,11:00,11:30,11:30,11:55,25 min,2026-08-17.txt
2026-05-24,三崎公園野外音楽堂,3bssileq74769rvml92sd5mqi3@google.com,【イベント】「リーディング エクストロメ‼」,「リーディング エクストロメ‼」,6,0,0,0,11:00,11:30,11:30,11:55,25 min,2026-08-17.txt
2026-05-28,渋谷近未来会館,0mu35iin3pog42mouiekelhg4r@google.com,【イベント】#ﾆｷﾌﾟﾚ『シキサイ。』,#ﾆｷﾌﾟﾚ『シキサイ。』,9,1,1,0,18:40,19:00,19:30,20:00,30 min,2026-08-17.txt
2026-05-30,Spotify O-Crest,5umnd8ontb2tufoug82d9lent7@google.com,【イベント】Drawry.主催イベント「build a family vol.3」,Drawry.主催イベント「build a family vol.3」,9,1,0,0,11:25,11:50,12:40,,,2026-08-17.txt
